specification,outcome,coefficient,estimate,standard_error_player,ci_lower,ci_upper,p_value,n_observations,n_players,n_club_games,fe_max_error,pre_start,weight_method,omitted_dimension,omitted_value
leave_one_baseline_club_id_out,minutes_share,treated_x_acute,0.023291536099583253,0.025164703758618696,-0.026030376948929124,0.07261344914809563,0.354672769871228,16160,1010,1552,6.106226635438361e-16,-8,analysis_weight,baseline_club_id,2919
leave_one_baseline_club_id_out,minutes_share,treated_x_consolidated,0.0834855187796752,0.02725969671692657,0.030057494985014366,0.13691354257433602,0.0021942391092031333,16160,1010,1552,6.106226635438361e-16,-8,analysis_weight,baseline_club_id,2919
leave_one_baseline_club_id_out,minutes_share,treated_x_acute,0.022527635267016045,0.02528206007162833,-0.027024291928353622,0.07207956246238571,0.37290116637629644,16064,1004,1552,6.106226635438361e-16,-8,analysis_weight,baseline_club_id,3
leave_one_baseline_club_id_out,minutes_share,treated_x_consolidated,0.08303991767046104,0.02738851232928934,0.02935941991492271,0.13672041542599936,0.002429995011511199,16064,1004,1552,6.106226635438361e-16,-8,analysis_weight,baseline_club_id,3
leave_one_baseline_club_id_out,minutes_share,treated_x_acute,0.01952565828868573,0.02527954054532906,-0.030021330725879265,0.06907264730325072,0.43988361612986804,16048,1003,1552,6.106226635438361e-16,-8,analysis_weight,baseline_club_id,31
leave_one_baseline_club_id_out,minutes_share,treated_x_consolidated,0.08376001805400339,0.027432204639105624,0.029993884944823773,0.137526151163183,0.002263046851235462,16048,1003,1552,6.106226635438361e-16,-8,analysis_weight,baseline_club_id,31
leave_one_baseline_club_id_out,minutes_share,treated_x_acute,0.022103823239532094,0.025276905641736656,-0.027438001458889052,0.07164564793795324,0.38186391086974414,16064,1004,1552,6.106226635438361e-16,-8,analysis_weight,baseline_club_id,33
leave_one_baseline_club_id_out,minutes_share,treated_x_consolidated,0.08262673165348801,0.027388100457026554,0.02894704115275097,0.13630642215422506,0.0025538722632485467,16064,1004,1552,6.106226635438361e-16,-8,analysis_weight,baseline_club_id,33
leave_one_baseline_club_id_out,minutes_share,treated_x_acute,0.02731503909948685,0.02534437611694817,-0.022359025300368672,0.07698910349934238,0.28114291242851364,16016,1001,1552,6.106226635438361e-16,-8,analysis_weight,baseline_club_id,3302
leave_one_baseline_club_id_out,minutes_share,treated_x_consolidated,0.08219952921681828,0.02753726338979339,0.028227484740029868,0.1361715736936067,0.0028355145975400564,16016,1001,1552,6.106226635438361e-16,-8,analysis_weight,baseline_club_id,3302
leave_one_baseline_club_id_out,minutes_share,treated_x_acute,0.02111672836787085,0.02531037054663422,-0.028490686338895583,0.07072414307463729,0.40410558105315153,15968,998,1552,6.106226635438361e-16,-8,analysis_weight,baseline_club_id,331
leave_one_baseline_club_id_out,minutes_share,treated_x_consolidated,0.08060051250346709,0.0274110708133631,0.026875800931598366,0.13432522407533581,0.0032775019651962722,15968,998,1552,6.106226635438361e-16,-8,analysis_weight,baseline_club_id,331
leave_one_baseline_club_id_out,minutes_share,treated_x_acute,0.030876087773561548,0.02496113716446049,-0.018046842081945267,0.07979901762906837,0.21609955997756103,16144,1009,1552,6.106226635438361e-16,-8,analysis_weight,baseline_club_id,3522
leave_one_baseline_club_id_out,minutes_share,treated_x_consolidated,0.094080084530427,0.02670132057632912,0.04174645786116365,0.14641371119969035,0.0004260086046490308,16144,1009,1552,6.106226635438361e-16,-8,analysis_weight,baseline_club_id,3522
leave_one_baseline_club_id_out,minutes_share,treated_x_acute,0.023644872810754926,0.025399642728695306,-0.026137512157672536,0.07342725777918238,0.35189825974287103,16064,1004,1552,6.106226635438361e-16,-8,analysis_weight,baseline_club_id,3524
leave_one_baseline_club_id_out,minutes_share,treated_x_consolidated,0.08720000737458333,0.027456622845056206,0.0333860154611735,0.14101399928799316,0.001493627022807198,16064,1004,1552,6.106226635438361e-16,-8,analysis_weight,baseline_club_id,3524
leave_one_baseline_club_id_out,minutes_share,treated_x_acute,0.022426205259592814,0.02541727962706053,-0.02739074739442948,0.0722431579136151,0.37760312245626526,15984,999,1552,6.106226635438361e-16,-8,analysis_weight,baseline_club_id,366
